�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
3.7,17493.15039,26881.38867,21002.58789,26881.38867,311943.75,27590.21484,115732.5703,17200.69727,67195.28906,8011.798828
3.75,17547.67578,26935.91406,20863.79492,27059.83398,311943.75,27595.17188,89813.30469,17056.94922,61861.73828,8104.47998
3.8,17582.37305,27010.26563,20620.91016,27139.14258,311943.75,27595.17188,78828.96875,16962.76953,54793.29688,8137.296387
3.85,17552.63281,26990.4375,20432.55078,27188.71094,311943.75,27595.17188,72989.82031,17260.17969,58149.07422,8167.925293
3.9,17552.63281,27064.79102,20209.49414,27178.79688,311943.75,27595.17188,75661.55469,17161.04297,52528.02734,8202.53125
3.95,17562.54688,27158.9707,19996.34961,27258.10742,311943.75,27600.12891,79547.71094,17146.17383,51705.19141,8195.172852
4,17582.37305,27193.66797,19852.60156,27317.58984,311943.75,27595.17188,82615.98438,16942.94336,45781.78125,8204.917969
4.05,17577.41797,27238.2793,19812.94727,27302.71875,311943.75,27595.17188,82640.77344,16918.1582,41662.65234,8203.526367
4.1,17587.33008,27342.37305,19748.50977,27337.41602,311943.75,27590.21484,82378.0625,17170.95703,34703.26563,8200.94043
4.15,17592.28711,27367.1582,19723.72461,27362.20117,311943.75,27590.21484,78571.21094,17007.38086,38767.86719,8199.349609
4.2,17582.37305,27426.63867,19609.7168,27550.56055,311943.75,27585.25781,76375.33594,16893.375,34926.32422,8198.354492
4.25,17557.58984,27461.33789,19584.93359,27847.9707,311943.75,27590.21484,72751.89844,16457.17383,32244.67773,8215.458984
4.3,17582.37305,27491.07813,19565.10547,27843.01367,311943.75,27585.25781,70665.07031,16179.59082,29225.96875,8233.359375
4.35,17557.58984,27500.99219,19525.45117,27783.53125,311943.75,27590.21484,67289.46875,16382.82129,30256.99023,8230.375977
4.4,17552.63281,27515.86133,19500.66797,27808.31445,311943.75,27590.21484,63725.50781,16011.05859,31858.04492,8229.182617
4.45,17557.58984,27540.64648,19446.14258,27823.18555,311943.75,27590.21484,64067.52734,16248.98633,21280.16992,8222.419922
4.5,17577.41797,27570.38672,19456.05664,27838.05664,311943.75,27590.21484,61673.37891,15951.57715,18985.15625,8220.033203
4.55,17532.80469,27679.4375,19421.35742,27808.31445,311943.75,27590.21484,57281.62891,16253.94336,10335.4873,8219.834961
4.6,17587.33008,27738.91992,19292.48047,27719.0918,311943.75,27595.17188,46237.80859,16551.35352,8080.129395,8212.078125
4.65,17587.33008,27743.87695,19232.99805,27639.7832,311943.75,27590.21484,23327.33984,16799.19531,9638.298828,8215.061523
4.7,17592.28711,27729.00586,19183.42969,27639.7832,311943.75,27590.21484,12863.47168,16581.09375,6290.826172,8207.503906
4.75,17562.54688,27699.26563,19153.68945,27614.99805,311943.75,27595.17188,10796.47266,16680.23047,3951.911133,8215.061523
4.8,17577.41797,27699.26563,19104.12109,27634.82617,311943.75,27595.17188,9701.012695,16372.90723,3460.261719,8213.868164
4.85,17587.33008,27738.91992,19084.29297,27674.48047,311943.75,27595.17188,10771.68848,16581.09375,1179.421753,8221.02832
4.9,17542.71875,27768.66016,19000.02734,27679.4375,311943.75,27595.17188,12238.91113,16561.26758,663.5080566,8201.93457
4.95,17562.54688,27793.44531,18915.76172,27649.69727,311943.75,27595.17188,13170.79492,16417.51953,454.2785645,8210.288086
5,17577.41797,27818.22852,18846.36523,27610.04297,311943.75,27600.12891,14414.95898,16323.33887,476.9517212,8221.02832
5.05,17418.79883,27847.9707,18881.06445,27614.99805,311943.75,27600.12891,15802.87207,16293.59766,445.1297607,8213.072266
5.1,17458.45313,27862.83984,18801.75391,27570.38672,311943.75,27600.12891,23798.24023,16680.23047,395.0101318,8215.857422
5.15,17463.41016,27887.625,18762.09961,27580.30078,311943.75,27600.12891,53425.21484,16967.72656,381.6846619,8218.641602
5.2,17488.19336,27902.49414,18667.91992,27605.08594,311938.8125,27595.17188,65331.51953,17027.20898,372.9336243,8101.49707
5.25,17542.71875,27882.66797,18667.91992,27644.74023,311938.8125,27595.17188,65782.59375,16908.24414,396.4023438,8198.15625
5.3,17597.24414,27882.66797,18667.91992,27699.26563,311938.8125,27595.17188,67909.07031,16769.45313,425.0421448,8214.265625
